Shopping_ID,Subcategory,Source_Dataset,Store_ID,Store_Name,Locality,Store_Type,Main_Categories,Chennai_Zone,Address,Phone,Rating,Review_Count,Verification_Status,Main_Products,Data_Status,Market_ID,Market_Name,Shopping_Categories,Market_Type,Operating_Days,Typical_Operating_Time,Mall_Name,Type,Developer_or_Group,Notes,Interest_Category
54,Book Stores,chennai_book_stores_100_plus(1).csv,54.0,Adayar Book Centre,Adyar,Book Store,"Academic, general books",South Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
55,Book Stores,chennai_book_stores_100_plus(1).csv,55.0,Mylapore Book Centre,Mylapore,Book Store,"Tamil, academic, general books",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
56,Book Stores,chennai_book_stores_100_plus(1).csv,56.0,T Nagar Book House,T. Nagar,Book Store,"General, academic books",South/Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
57,Book Stores,chennai_book_stores_100_plus(1).csv,57.0,Anna Nagar Book House,Anna Nagar,Book Store,"General, academic books",West Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
58,Book Stores,chennai_book_stores_100_plus(1).csv,58.0,Velachery Book House,Velachery,Book Store,"General, academic books",South Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
59,Book Stores,chennai_book_stores_100_plus(1).csv,59.0,Chromepet Book House,Chromepet,Book Store,"Academic, competitive exam books",Chennai Metropolitan Area,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
60,Book Stores,chennai_book_stores_100_plus(1).csv,60.0,Tambaram Book House,Tambaram,Book Store,"Academic, school, general books",Chennai Metropolitan Area,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
61,Book Stores,chennai_book_stores_100_plus(1).csv,61.0,Koyambedu Book Centre,Koyambedu,Book Store,"School, academic, general books",West Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
62,Book Stores,chennai_book_stores_100_plus(1).csv,62.0,Purasawalkam Book Centre,Purasawalkam,Book Store,"Academic, Tamil, general books",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
63,Book Stores,chennai_book_stores_100_plus(1).csv,63.0,Royapettah Book Centre,Royapettah,Book Store,"General, academic books",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
64,Book Stores,chennai_book_stores_100_plus(1).csv,64.0,Triplicane Book Centre,Triplicane,Book Store,"Tamil, religious, general books",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
65,Book Stores,chennai_book_stores_100_plus(1).csv,65.0,Sowcarpet Book Centre,Sowcarpet,Book Store,"Academic, religious, general books",Central/North Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
66,Book Stores,chennai_book_stores_100_plus(1).csv,66.0,Parrys Book Centre,Parrys,Book Store,"Textbooks, stationery, general books",Central/North Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
67,Book Stores,chennai_book_stores_100_plus(1).csv,67.0,George Town Book House,George Town,Book Store,"Academic, Tamil, general books",North/Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
68,Book Stores,chennai_book_stores_100_plus(1).csv,68.0,Ritchie Street Technical Books,Chintadripet,Technical Book Store,"Engineering, electronics, computer books",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
69,Book Stores,chennai_book_stores_100_plus(1).csv,69.0,Moore Market Book Shops - Park Town,Park Town,Second-hand Book Store,"Used books, rare books, magazines",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
70,Book Stores,chennai_book_stores_100_plus(1).csv,70.0,Moore Market Second-hand Books - Shop 1,Park Town,Second-hand Book Store,"Used books, novels, academic books",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
71,Book Stores,chennai_book_stores_100_plus(1).csv,71.0,Moore Market Second-hand Books - Shop 2,Park Town,Second-hand Book Store,"Used books, magazines",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
72,Book Stores,chennai_book_stores_100_plus(1).csv,72.0,Moore Market Second-hand Books - Shop 3,Park Town,Second-hand Book Store,"Used books, competitive exam books",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
73,Book Stores,chennai_book_stores_100_plus(1).csv,73.0,Moore Market Second-hand Books - Shop 4,Park Town,Second-hand Book Store,"Used books, Tamil books",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
74,Book Stores,chennai_book_stores_100_plus(1).csv,74.0,Moore Market Second-hand Books - Shop 5,Park Town,Second-hand Book Store,"Used books, engineering books",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
75,Book Stores,chennai_book_stores_100_plus(1).csv,75.0,Moore Market Second-hand Books - Shop 6,Park Town,Second-hand Book Store,"Used books, novels",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
76,Book Stores,chennai_book_stores_100_plus(1).csv,76.0,Moore Market Second-hand Books - Shop 7,Park Town,Second-hand Book Store,"Used books, children's books",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
77,Book Stores,chennai_book_stores_100_plus(1).csv,77.0,Moore Market Second-hand Books - Shop 8,Park Town,Second-hand Book Store,"Used books, magazines",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
78,Book Stores,chennai_book_stores_100_plus(1).csv,78.0,Moore Market Second-hand Books - Shop 9,Park Town,Second-hand Book Store,"Used books, textbooks",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
79,Book Stores,chennai_book_stores_100_plus(1).csv,79.0,Moore Market Second-hand Books - Shop 10,Park Town,Second-hand Book Store,"Used books, general books",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
80,Book Stores,chennai_book_stores_100_plus(1).csv,80.0,Moore Market Second-hand Books - Shop 11,Park Town,Second-hand Book Store,"Used books, rare books",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
81,Book Stores,chennai_book_stores_100_plus(1).csv,81.0,Moore Market Second-hand Books - Shop 12,Park Town,Second-hand Book Store,"Used books, Tamil literature",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
82,Book Stores,chennai_book_stores_100_plus(1).csv,82.0,Moore Market Second-hand Books - Shop 13,Park Town,Second-hand Book Store,"Used books, academic books",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
83,Book Stores,chennai_book_stores_100_plus(1).csv,83.0,Moore Market Second-hand Books - Shop 14,Park Town,Second-hand Book Store,"Used books, competitive exam books",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
84,Book Stores,chennai_book_stores_100_plus(1).csv,84.0,Moore Market Second-hand Books - Shop 15,Park Town,Second-hand Book Store,"Used books, novels",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
85,Book Stores,chennai_book_stores_100_plus(1).csv,85.0,Moore Market Second-hand Books - Shop 16,Park Town,Second-hand Book Store,"Used books, magazines",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
86,Book Stores,chennai_book_stores_100_plus(1).csv,86.0,Moore Market Second-hand Books - Shop 17,Park Town,Second-hand Book Store,"Used books, school books",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
87,Book Stores,chennai_book_stores_100_plus(1).csv,87.0,Moore Market Second-hand Books - Shop 18,Park Town,Second-hand Book Store,"Used books, technical books",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
88,Book Stores,chennai_book_stores_100_plus(1).csv,88.0,Moore Market Second-hand Books - Shop 19,Park Town,Second-hand Book Store,"Used books, fiction",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
89,Book Stores,chennai_book_stores_100_plus(1).csv,89.0,Moore Market Second-hand Books - Shop 20,Park Town,Second-hand Book Store,"Used books, general books",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
90,Book Stores,chennai_book_stores_100_plus(1).csv,90.0,Moore Market Second-hand Books - Shop 21,Park Town,Second-hand Book Store,"Used books, Tamil books",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
91,Book Stores,chennai_book_stores_100_plus(1).csv,91.0,Moore Market Second-hand Books - Shop 22,Park Town,Second-hand Book Store,"Used books, academic books",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
92,Book Stores,chennai_book_stores_100_plus(1).csv,92.0,Moore Market Second-hand Books - Shop 23,Park Town,Second-hand Book Store,"Used books, children's books",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
93,Book Stores,chennai_book_stores_100_plus(1).csv,93.0,Moore Market Second-hand Books - Shop 24,Park Town,Second-hand Book Store,"Used books, exam guides",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
94,Book Stores,chennai_book_stores_100_plus(1).csv,94.0,Moore Market Second-hand Books - Shop 25,Park Town,Second-hand Book Store,"Used books, novels",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
95,Book Stores,chennai_book_stores_100_plus(1).csv,95.0,Book Lovers Paradise - Chennai,Nungambakkam,Book Store,"General books, fiction, non-fiction",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
96,Book Stores,chennai_book_stores_100_plus(1).csv,96.0,The Book Shop - Chennai,Alwarpet,Book Store,"General, fiction, children's books",Central/South Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
97,Book Stores,chennai_book_stores_100_plus(1).csv,97.0,Full Circle Bookshop - Chennai,Alwarpet,Book Store,"Fiction, non-fiction, lifestyle",Central/South Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
98,Book Stores,chennai_book_stores_100_plus(1).csv,98.0,Oxford Bookstore - Chennai,Nungambakkam,Book Store,"Books, magazines, gifts",Central Chennai,,,,,Known institution/brand - verify current outlet,,,,,,,,,,,,,Shopping Interest
99,Book Stores,chennai_book_stores_100_plus(1).csv,99.0,Reader's Paradise Chennai,T Nagar,Book Store,"Fiction, academic, general books",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
100,Book Stores,chennai_book_stores_100_plus(1).csv,100.0,Kizhakku Pathippagam Store,T Nagar,Book Store,"Tamil literature, non-fiction",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
101,Book Stores,chennai_book_stores_100_plus(1).csv,101.0,Uyirmai Publications Book Shop,T Nagar,Book Store,"Tamil literature, publications",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
102,Book Stores,chennai_book_stores_100_plus(1).csv,102.0,Kalachuvadu Book Shop Chennai,Nungambakkam,Book Store,"Tamil literature, translations",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
103,Book Stores,chennai_book_stores_100_plus(1).csv,103.0,Discovery Book Palace,Anna Salai,Book Store,"Tamil, general, academic books",Central Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
104,Book Stores,chennai_book_stores_100_plus(1).csv,104.0,Bharathi Pathippagam Book Store,T Nagar,Book Store,"Tamil literature, educational books",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
105,Book Stores,chennai_book_stores_100_plus(1).csv,105.0,Manimekalai Prasuram Book Shop,T Nagar,Book Store,"Tamil books, literature",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
106,Book Stores,chennai_book_stores_100_plus(1).csv,106.0,Vanathi Pathippagam Book Shop,T Nagar,Book Store,"Tamil literature, devotional books",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
107,Book Stores,chennai_book_stores_100_plus(1).csv,107.0,Kavitha Publications Book Shop,T Nagar,Book Store,"Tamil literature, general books",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
108,Book Stores,chennai_book_stores_100_plus(1).csv,108.0,Vikatan Book Shop Chennai,T Nagar,Book Store,"Tamil books, magazines, publications",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
109,Book Stores,chennai_book_stores_100_plus(1).csv,109.0,Dinamani Book Centre,Chennai,Book Store,"Tamil books, newspapers, magazines",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
110,Book Stores,chennai_book_stores_100_plus(1).csv,110.0,Dinamalar Book Centre,Chennai,Book Store,"Tamil books, magazines",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
111,Book Stores,chennai_book_stores_100_plus(1).csv,111.0,Kalaignar Pathippagam Book Shop,Chennai,Book Store,"Tamil books, literature",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
112,Book Stores,chennai_book_stores_100_plus(1).csv,112.0,Ananda Vikatan Book Store,Chennai,Book Store,"Tamil books, magazines",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
113,Book Stores,chennai_book_stores_100_plus(1).csv,113.0,Sura Books Store Chennai,Chennai,Book Store,"School books, academic books",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
114,Book Stores,chennai_book_stores_100_plus(1).csv,114.0,Target Publications Chennai,Chennai,Book Store,"Competitive exam, academic books",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
115,Book Stores,chennai_book_stores_100_plus(1).csv,115.0,Shankar IAS Academy Book Store,Anna Nagar,Competitive Exam Book Store,"UPSC, TNPSC, competitive exam books",West Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
116,Book Stores,chennai_book_stores_100_plus(1).csv,116.0,RACE Institute Book Store,T Nagar,Competitive Exam Book Store,"Banking, SSC, competitive exams",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
117,Book Stores,chennai_book_stores_100_plus(1).csv,117.0,TIME Institute Book Store Chennai,T Nagar,Competitive Exam Book Store,"CAT, aptitude, competitive exams",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
118,Book Stores,chennai_book_stores_100_plus(1).csv,118.0,Made Easy Book Store Chennai,Chennai,Competitive Exam Book Store,"Engineering, GATE, UPSC books",Chennai,,,,,Directory candidate - verify current branch/details,,,,,,,,,,,,,Shopping Interest
